sector_name,age_band,gender_name,n_unweighted,pop_weighted,rate,count_weighted,unreliable,uncertainty_status,gap_pop
Rural,15-24,Female,6883.0,68804359.48,0.5117742798003297,35212301.519999996,False,Design-based confidence interval unavailable,33592057.96000001
Rural,15-24,Male,7233.0,73306009.32000001,0.730429134482859,53544844.94,False,Design-based confidence interval unavailable,19761164.38000001
Rural,15-24,Transgender,17.0,171613.09999999998,0.4482965461261408,76933.56,True,Design-based confidence interval unavailable,94679.53999999998
Rural,25-34,Female,6496.0,65717791.41,0.45043052702917974,29601299.419999998,False,Design-based confidence interval unavailable,36116491.989999995
Rural,25-34,Male,6580.0,65990147.94000001,0.7729244737619844,51005400.370000005,False,Design-based confidence interval unavailable,14984747.570000008
Rural,25-34,Transgender,20.0,228504.06,0.22322618687825505,51008.090000000004,True,Design-based confidence interval unavailable,177495.97
Rural,35-44,Female,5711.0,56302567.69,0.25647178774343393,14440020.190000001,False,Design-based confidence interval unavailable,41862547.5
Rural,35-44,Male,5613.0,55904391.53,0.5870585950727725,32819153.55,False,Design-based confidence interval unavailable,23085237.98
Rural,35-44,Transgender,20.0,207738.95,0.27500105300426325,57128.43,True,Design-based confidence interval unavailable,150610.52000000002
Rural,45-59,Female,6442.0,63804146.88,0.1331910798209234,8498143.22,False,Design-based confidence interval unavailable,55306003.660000004
Rural,45-59,Male,6432.0,63283046.1,0.3253585290041846,20589678.790000003,False,Design-based confidence interval unavailable,42693367.31
Rural,45-59,Transgender,14.0,103624.16,0.3986635935094673,41311.18,True,Design-based confidence interval unavailable,62312.98
Rural,60+,Female,4576.0,45286416.66,0.03845961942796823,1741698.35,False,Design-based confidence interval unavailable,43544718.309999995
Rural,60+,Male,4617.0,45119857.68,0.10740915484199728,4846285.78,False,Design-based confidence interval unavailable,40273571.9
Rural,60+,Transgender,14.0,145282.24,0.0,0.0,True,Design-based confidence interval unavailable,145282.24
Urban,15-24,Female,4678.0,30824702.25,0.7211565373676886,22229435.54,False,Design-based confidence interval unavailable,8595266.71
Urban,15-24,Male,5274.0,36399303.879999995,0.8417377310568502,30638667.46,False,Design-based confidence interval unavailable,5760636.419999994
Urban,15-24,Transgender,11.0,80910.83,0.6658504182938181,53874.51,True,Design-based confidence interval unavailable,27036.32
Urban,25-34,Female,5090.0,34187623.43,0.7042344335310822,24076101.62,False,Design-based confidence interval unavailable,10111521.809999999
Urban,25-34,Male,5203.0,36090627.0,0.8811800315910276,31802339.839999996,False,Design-based confidence interval unavailable,4288287.160000004
Urban,25-34,Transgender,14.0,114152.96,0.675896446312036,77155.58,True,Design-based confidence interval unavailable,36997.380000000005
Urban,35-44,Female,4633.0,30482849.75,0.5338875332677845,16274413.46,False,Design-based confidence interval unavailable,14208436.29
Urban,35-44,Male,4614.0,30905920.22,0.8113877626517734,25076685.46,False,Design-based confidence interval unavailable,5829234.759999998
Urban,35-44,Transgender,14.0,75282.48999999999,0.11353224368641368,8546.99,True,Design-based confidence interval unavailable,66735.49999999999
Urban,45-59,Female,4898.0,33029655.880000003,0.3130213299091749,10338986.81,False,Design-based confidence interval unavailable,22690669.07
Urban,45-59,Male,5108.0,34425934.89,0.6206156732785246,21365274.76,False,Design-based confidence interval unavailable,13060660.129999999
Urban,45-59,Transgender,12.0,79386.20000000001,0.34206990635652035,27155.63,True,Design-based confidence interval unavailable,52230.57000000001
Urban,60+,Female,3188.0,21666737.36,0.15606417772167983,3381401.55,False,Design-based confidence interval unavailable,18285335.81
Urban,60+,Male,3219.0,21130251.51,0.3112118697161688,6575985.08,False,Design-based confidence interval unavailable,14554266.430000002
Urban,60+,Transgender,7.0,49538.48,0.030453699830919317,1508.63,True,Design-based confidence interval unavailable,48029.850000000006
